week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",1,4.84439992904663,4.84439992904663,,31.5433789954338,31.5433789954338,31.5433789954338,,,,4.84439992904663,4.84439992904663,0.578947365283966,0.578947365283966,0.578947365283966,0.578947365283966
"[-59,-58)",1,2.8199999332428,2.8199999332428,,34.3076484018265,34.3076484018265,34.3076484018265,,,,2.8199999332428,2.8199999332428,0.200000002980232,0.200000002980232,0.200000002980232,0.200000002980232
"[-57,-56)",2,6.21351003646851,6.21351003646851,0.970843551729166,32.602397260274,32.2264269406393,32.9783675799087,33.0475997924805,33.0475997924805,33.0475997924805,5.87026500701904,6.55675506591797,0.724561423063278,0.724561423063278,0.686842128634453,0.762280717492104
"[-56,-55)",2,3.42499995231628,3.42499995231628,1.74655360117387,33.6051940639269,33.1182363013699,34.092151826484,20.4843745231628,19.4960868358612,21.4726622104645,2.80750000476837,4.0424998998642,0.335714299231768,0.335714299231768,0.217857150360942,0.453571448102593
"[-55,-54)",1,1.82000005245209,1.82000005245209,,25.6614155251142,25.6614155251142,25.6614155251142,19.3337001800537,19.3337001800537,19.3337001800537,1.82000005245209,1.82000005245209,0.0786516889929771,0.0786516889929771,0.0786516889929771,0.0786516889929771
"[-54,-53)",3,7.29473320643107,7.05999994277954,2.79530159860192,29.5630136986301,27.7493150684932,30.0476598173516,19.8351993560791,19.8351993560791,19.8351993560791,5.84209990501404,8.62999987602234,0.704529007275899,0.705882370471954,0.628222078084946,0.78151261806488
"[-53,-52)",2,7.29656004905701,7.29656004905701,6.99549244333926,32.2200342465754,31.1967751141553,33.2432933789954,21.7784004211426,21.7784004211426,21.7784004211426,4.82327997684479,9.76984012126923,0.568431384861469,0.568431384861469,0.362647067755461,0.774215701967478
"[-52,-51)",1,7.80000019073486,7.80000019073486,,25.3763698630137,25.3763698630137,25.3763698630137,,,,7.80000019073486,7.80000019073486,0.797752797603607,0.797752797603607,0.797752797603607,0.797752797603607
"[-51,-50)",4,3.74849998950958,3.41199994087219,1.62946886433581,31.5365867579909,28.9138984018265,33.8825913242009,,,,2.42000007629395,4.74049985408783,0.360119059681892,0.366666682064533,0.189285717904568,0.537500023841858
"[-50,-49)",4,4.91065001487732,4.54000008106232,2.18872443050637,31.7708904109589,29.9975742009132,33.6318207762557,19.6844997406006,19.4869499206543,19.8820495605469,3.34815001487732,6.10250008106232,0.531491585075855,0.554411754012108,0.359117649495602,0.726785689592362
"[-49,-48)",2,9.46500039100647,9.46500039100647,10.9389424309486,28.7201484018265,28.0290810502283,29.4112157534247,24.2187995910645,24.2187995910645,24.2187995910645,5.59750020503998,13.332500576973,0.504411758854985,0.504411758854985,0.281617644242942,0.727205873467028
