week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",652,329.811790297807,275.699996948242,198.407663008606,29.6941210045662,27.4950057077626,32.1005422374429,23.6243991851807,20.7839756011963,27.4596626758575,190.975006103516,410.775009155273,0.498465388897304,0.506563186645508,0.26135066151619,0.729060679674149
"[-59,-58)",705,323.727169929667,270,188.968747535611,29.6071917808219,27.6147260273973,31.910502283105,24.6093997955322,21.2031002044678,29.2183990478516,191.489395141602,401.299987792969,0.494504055195878,0.487840831279755,0.270486503839493,0.724846005439758
"[-58,-57)",732,315.152225181705,259.199996948242,189.333406447,29.6835045662101,27.5416952054795,32.130450913242,23.2254009246826,20.6905002593994,27.189172744751,187.700000762939,382.978790283203,0.481612340167999,0.48163977265358,0.263611540198326,0.705176115036011
"[-57,-56)",697,315.960386848176,254,195.088987966995,29.7186073059361,27.3051369863014,32.1762557077626,24.2381992340088,21.0238335927328,28.5866695022583,176,388,0.471788871718017,0.456750303506851,0.225546061992645,0.711301028728485
"[-56,-55)",720,316.667472171784,255.319198608398,194.084210910508,29.6133561643836,27.4105593607306,31.8639840182648,22.589599609375,20.0692005157471,26.8409247398377,175.974998474121,402.625,0.474278116808273,0.463531449437141,0.233826424926519,0.718839079141617
"[-55,-54)",685,327.459890230276,268,200.003141342602,29.8667808219178,27.7656392694064,32.2119863013699,22.9591007232666,20.4466991424561,26.9086999893189,178.399993896484,416.200012207031,0.492355585630956,0.482826292514801,0.246225312352181,0.730410218238831
"[-54,-53)",765,314.057433204402,267,184.843747100715,30.0392694063927,27.57899543379,32.1706621004566,23.8346996307373,20.5644497871399,27.9467253684998,177,398,0.482342883849553,0.493261456489563,0.245493948459625,0.716866672039032
"[-53,-52)",745,324.614551600514,265,194.579235878214,29.8068493150685,27.4391552511416,31.7736301369863,23.5883007049561,20.9041996002197,28.3038997650147,187.800003051758,398.899993896484,0.490863350511297,0.485043227672577,0.260986745357513,0.71088182926178
"[-52,-51)",755,311.263030894703,255.319198608398,183.716683880327,29.6834474885845,27.4545091324201,32.1077054794521,22.8499002456665,20.5973744392395,27.2663123607636,181.650001525879,396.272384643555,0.475976311141588,0.469823032617569,0.239324241876602,0.714009523391724
"[-51,-50)",755,315.433381986302,255.319198608398,191.933518102021,29.5406392694064,27.5601598173516,32.0478310502283,23.6340007781982,20.7066249847412,28.8498001098633,181.700004577637,389.899993896484,0.478063608992179,0.463723480701447,0.2536800801754,0.71094274520874
