week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",214,20.8878504672897,18.5,13.6896020325107,29.7639840182648,27.6434075342466,31.9480308219178,22.5706329345703,20.054874420166,26.9142878055573,10.25,27,0.549217431971403,0.57421487569809,0.340611882507801,0.753310516476631
"[-59,-58)",247,19.7449392712551,16,13.8928728253672,30.2583333333333,27.8091324200913,32.4364726027397,22.3200998306274,19.9000997543335,26.2965755462647,8,27,0.514634313612332,0.51162976026535,0.253411874175072,0.747527211904526
"[-58,-57)",225,21.1355555555556,16,14.0590456956728,30.4010273972603,28.1656392694064,32.7076484018265,22.5136003494263,20.557112455368,26.7604756355286,10,29,0.54806181434128,0.541055619716644,0.310331284999847,0.766628265380859
"[-57,-56)",199,19.3517587939699,16,12.470445239316,29.897602739726,27.8684360730594,32.1352739726027,22.4081993103027,19.8791007995605,25.8875999450684,10,27,0.523396601254617,0.514199018478394,0.31007494032383,0.743538498878479
"[-56,-55)",226,21.9026548672566,18,13.2252046246853,29.9559931506849,27.672203196347,32.0098173515982,22.3542995452881,20.5713996887207,27.3437995910645,10.25,30,0.576517119805897,0.592198312282562,0.361821368336678,0.800224184989929
"[-55,-54)",239,19.9121338912134,16,13.9614046047172,29.8666666666667,27.5776826484018,32.1037671232877,22.6756992340088,20.4940500259399,25.4921503067017,10,28.5,0.522315974452506,0.491904467344284,0.304804310202599,0.770307064056397
"[-54,-53)",220,19.1909090909091,17,13.408233996161,30.6924657534247,28.298002283105,32.9093607305936,22.3213996887207,20.3120002746582,25.4942502975464,8.75,25,0.50463550097563,0.53244411945343,0.253432393074036,0.715769231319428
"[-53,-52)",245,19.9387755102041,15,13.7373013839747,30.1926940639269,28.1380136986301,32.4263698630137,22.9591007232666,19.8647505442301,26.4003101348877,9,28,0.52139472289353,0.512543737888336,0.263463646173477,0.771370768547058
"[-52,-51)",217,19.6129032258065,16,13.1630592581002,30.1747716894977,27.847602739726,32.6474885844749,23.0468997955322,21.277099609375,25.7614502906799,10,26,0.521634677759788,0.535535454750061,0.302019864320755,0.754514038562775
"[-51,-50)",220,19.9863636363636,16,13.6122022701479,29.6296803652968,27.2313070776256,32.0987442922374,23.1886501312256,20.0582497119904,26.2576003074646,9,27,0.524796565689824,0.528946578502655,0.277497604489327,0.754840031266213
"[-50,-49)",239,19.7196652719665,15,13.6030485913976,29.8802511415525,27.6933219178082,32.5324200913242,22.7135000228882,19.7464499473572,25.573299407959,9,26.5,0.52008674642905,0.506671965122223,0.298885077238083,0.754674077033997
"[-49,-48)",201,19.3681592039801,15,14.0065620726332,29.6342465753425,27.2747716894977,31.9187214611872,23.217399597168,20.7520999908447,27.0993003845215,9,25,0.509458247442447,0.490092873573303,0.294674456119537,0.721208214759827
"[-48,-47)",220,18.1363636363636,14,12.4228962811932,29.954394977169,27.8926940639269,32.3370148401827,23.430549621582,20.8932251930237,27.0785503387451,8,25,0.490646274455569,0.456925272941589,0.253077961504459,0.722385793924332
