week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",126,138.396825396825,138,2.06331525494042,30.0775114155251,27.9823630136986,32.1575627853881,24.1807498931885,20.5973744392395,28.9660501480103,137,140,0.456265421170327,0.391834408044815,0.22059939801693,0.699455305933952
"[-59,-58)",120,138.395833333333,138,2.0425061156562,29.7155821917808,27.411044520548,32.395747716895,22.6002998352051,20.6034498214722,25.1837997436523,137,140,0.456472982419655,0.391834408044815,0.231622729450464,0.688557907938957
"[-58,-57)",119,138.252100840336,139,2.54857383646512,29.771803652968,27.8636415525114,31.9929794520548,21.9363339742025,20.125913143158,32.1271996498108,136,140,0.457381623272761,0.521344542503357,0.142330586910248,0.694333851337433
"[-57,-56)",111,138.486486486487,139,1.86773983425211,29.9779680365297,28.7162671232877,32.2344178082192,20.704400062561,19.6778502464294,24.3031497001648,137,140,0.464380709941054,0.510805487632752,0.245397344231606,0.682976543903351
"[-56,-55)",116,138.491379310345,139,2.17693717692171,30.2423515981735,27.472203196347,31.9533105022831,23.2185668945313,21.3332996368408,26.3238671620687,137,140,0.474370253625615,0.521576642990112,0.246835440397263,0.688557907938957
"[-55,-54)",103,138.47572815534,139,2.00902210234953,30.4783105022831,28.2014840182648,32.4819634703196,22.7741994857788,21.0657749176025,26.4535756111145,137,140,0.46635375545333,0.510805487632752,0.234529703855515,0.690476179122925
"[-54,-53)",131,138.251908396947,139,2.34141151198746,30.0165525114155,27.5174086757991,31.9284817351598,24.6204500198364,21.424325466156,26.4265933036804,137,140,0.45011027356368,0.517085731029511,0.207952536642551,0.692405015230179
"[-53,-52)",119,138.126050420168,138,2.28686233808869,29.6696347031964,27.9409246575342,31.90399543379,22.977499961853,20.2114748954773,26.0496745109558,137,140,0.431536431314752,0.385519802570343,0.211198434233665,0.684170424938202
"[-52,-51)",100,138.375,138,2.10623772963485,30.1313926940639,28.7277397260274,31.6081335616438,24.6029005050659,21.8014624118805,24.8640003204346,137,140,0.457928870096803,0.391834408044815,0.246835440397263,0.686642274260521
"[-51,-50)",135,138.214814814815,138,2.2539689213222,30.1859589041096,28.2059360730594,31.8945776255708,23.4375,19.7210006713867,27.239200592041,136.5,140,0.437523068832579,0.391834408044815,0.173518612980843,0.682976543903351
"[-50,-49)",131,138.652671755725,139,2.07817702082581,30.0474885844749,27.8006849315069,31.9835616438356,23.1587330500285,20.5532999038696,25.6699004173279,137,140,0.485467140861424,0.510805487632752,0.246835440397263,0.701162457466126
"[-49,-48)",103,138.446601941748,139,2.26104329267901,29.2697488584475,27.1872716894977,31.4054223744292,24.2439002990723,20.3125,27.0993003845215,137,140,0.476020840023762,0.541666686534882,0.215515181422234,0.692236840724945
"[-48,-47)",126,138.579365079365,139,2.30600320764105,30.6264269406393,28.2463755707763,32.3888984018265,23.3843994140625,20.0750494003296,30.0068839391073,137,140,0.483331673808159,0.517085731029511,0.237636063247919,0.704430401325226
"[-47,-46)",113,138.371681415929,139,2.30370311465152,29.8641552511416,28.0150684931507,31.5792237442922,22.9130001068115,21.6049003601074,29.1362991333008,137,140,0.465445653395315,0.517085731029511,0.234529703855515,0.693997502326965
"[-46,-45)",101,138.673267326733,139,2.21859825516514,29.8763698630137,27.7930365296804,32.4640410958904,25.3906002044678,20.9972496032715,29.0657005310059,137,140,0.491754036673372,0.540320217609406,0.235528334975243,0.704430401325226
"[-45,-44)",116,138.844827586207,139,1.94535544209842,30.3416666666667,27.8880422374429,31.9435216894977,21.3608498573303,20.1617493629456,28.8878502845764,138,140,0.51525041726739,0.541666686534882,0.365415021777153,0.696041002869606
"[-44,-43)",116,138.939655172414,139,2.03571926442185,29.5566780821918,27.8482876712329,32.0334474885845,22.8021993637085,19.8769249916077,25.4725623130798,138,140.25,0.529432632639233,0.541666686534882,0.356254100799561,0.729196161031723
"[-43,-42)",113,138.920353982301,139,2.02723242430393,29.6697488584475,27.9948630136986,32.3164383561644,22.266300201416,20.0997242927551,24.3570995330811,138,141,0.520839372880559,0.521576642990112,0.347195357084274,0.803675055503845
"[-42,-41)",131,138.450381679389,138,1.93037955796668,30.2504566210046,28.1824771689498,32.665696347032,24.3232002258301,20.0598497390747,27.7033500671387,137,140,0.463318331636318,0.391834408044815,0.246835440397263,0.690476179122925
"[-41,-40)",110,138.5,139,2.0576552077859,30.1111872146119,27.6834760273973,32.1138413242009,23.2334995269775,20.9972496032715,27.0831499099731,137,140,0.470842594416304,0.510805487632752,0.235528334975243,0.693117171525955
"[-40,-39)",83,139.024096385542,139,2.04209304161111,29.9396118721461,27.4784817351598,31.3970890410959,25,22.0741004943848,30.1161994934082,138,141,0.539095512737172,0.546356678009033,0.356254100799561,0.804621160030365
"[-39,-38)",99,138.383838383838,139,2.14146178715815,29.8489726027397,27.7554794520548,31.9075913242009,24.3274250030518,21.5109004974365,30.9517998695374,137,140,0.463129094679548,0.521344542503357,0.211198434233665,0.693997502326965
"[-38,-37)",95,138.484210526316,138,2.15299473714775,29.8175799086758,27.9546803652968,31.8178082191781,24.1597499847412,21.185049533844,29.2400748729706,137,140,0.468511372412506,0.391834408044815,0.245397344231606,0.692236840724945
"[-37,-36)",161,137.509316770186,137,2.10688755164567,29.2148401826484,27.4904109589041,32.2342465753425,21.7078990936279,19.5965003967285,25.4314498901367,136,139,0.346382936335499,0.249220296740532,0.129022270441055,0.544245064258575
"[-36,-35)",204,137.419117647059,138,2.08609688241936,29.8042237442922,27.5188926940639,32.0294235159817,20.3125,19.1263995170593,23.1345252990723,136,139,0.342511422692469,0.356856241822243,0.121807463467121,0.540656834840775
"[-35,-34)",256,137.0546875,137,2.2222002654144,29.4493150684932,27.3305936073059,32.1215753424658,21.7590999603271,19.6372661590576,25.9095001220703,136,139,0.303759370610351,0.243959248065949,0.111540943384171,0.510805487632752
"[-34,-33)",333,136.810810810811,137,2.14186685340478,29.6885844748858,26.9769406392694,32.6261415525114,20.7031002044678,18.938250541687,24.7504749298096,135,138,0.270434655660243,0.219831928610802,0.0768558979034424,0.378866761922836
"[-33,-32)",391,136.757033248082,137,2.16730848002994,29.5221461187215,27.1235730593607,31.5892694063927,23.1936502456665,19.8658747673035,25.5644502639771,135,138,0.272267421702747,0.222901806235313,0.0730824284255505,0.385443955659866
"[-32,-31)",416,136.712740384615,137,2.17428701841812,29.7881849315069,27.6417808219178,32.0266552511416,24.2215003967285,20.7031002044678,29.915812253952,135,138,0.264691209798912,0.207952536642551,0.0755952373147011,0.380431719124317
"[-31,-30)",409,136.511002444988,136,1.98412849997317,29.6698630136986,27.4817351598174,32.3192922374429,22.6589493751526,19.959400177002,25.0583500862122,135,138,0.237113795703172,0.142330586910248,0.0705696195363998,0.368067234754562
"[-30,-29)",390,136.40641025641,136,2.02035526818012,30.0248287671233,27.8620148401826,32.4411529680365,22.7903995513916,19.509349822998,25.8424838383993,135,138,0.228937181540263,0.137825414538383,0.0665222778916359,0.357458382844925
"[-29,-28)",360,136.416666666667,136,1.97159494560279,29.952796803653,27.8534817351598,32.0542808219178,23.2700996398926,20.5695495605469,28.5372495651245,135,138,0.229647890346435,0.141071423888206,0.0705696195363998,0.370470069348812
"[-28,-27)",397,136.493702770781,136,2.0665898427357,29.9191780821918,27.8904109589041,32.3247716894977,23.7954006195068,20.5499000549316,26.6728000640869,135,138,0.239412055876322,0.141071423888206,0.0705696195363998,0.368067234754562
