week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",328,1.49607312188643,1.39999997615814,0.512767359135958,29.4476598173516,27.4885559360731,32.1270833333333,23.9468799591065,20.7125754356384,28.68559106191,1.10000002384186,1.79999995231628,0.508993373695398,0.498881429433823,0.285549975931644,0.7441336363554
"[-59,-58)",324,1.48198063919942,1.43888795375824,0.50638429511153,29.7872146118722,27.6539383561644,31.9119006849315,24.0345993041992,21.1234502792358,29.6577997207642,1.0401599407196,1.79999995231628,0.50105475505561,0.513965666294098,0.261801853775978,0.724812567234039
"[-58,-57)",371,1.55582606953109,1.5,0.521681242986578,29.2509132420091,27.1669520547945,31.701598173516,23.1421499252319,20.0350756645203,26.7084250450134,1.10000002384186,1.89999997615814,0.537223423758366,0.564266800880432,0.302164614200592,0.768870770931244
"[-57,-56)",362,1.47727993097753,1.39999997615814,0.497121152659137,29.623002283105,27.3100171232877,32.1680365296804,24.2878494262695,20.8585252761841,27.0376577377319,1.10000002384186,1.79999995231628,0.497709348787507,0.478578448295593,0.286031275987625,0.74525311589241
"[-56,-55)",340,1.4852974584874,1.39999997615814,0.517732639147146,29.4324200913242,27.1076769406393,31.8507705479452,22.75830078125,19.7777004241943,26.8581008911133,1.04753994941711,1.80294394493103,0.497379070597098,0.484270229935646,0.245881631970406,0.742107748985291
"[-55,-54)",353,1.47397053934022,1.38688004016876,0.514142514973247,29.2940639269406,27.2366438356164,31.8692922374429,23.0545997619629,20.4741992950439,26.646050453186,1.07483196258545,1.79999995231628,0.491967824358947,0.483967334032059,0.274513959884644,0.714105010032654
"[-54,-53)",392,1.4825168609315,1.39999997615814,0.512879136758056,29.8392123287671,27.4331335616438,32.0211757990868,23.3806495666504,20.3201498985291,26.8331251144409,1.0401599407196,1.79999995231628,0.499910453125378,0.513504445552826,0.259727872908115,0.714493587613106
"[-53,-52)",357,1.50232851396756,1.39999997615814,0.531488689731872,29.6446347031963,27.3817351598174,31.6969178082192,24.2415499687195,20.940399646759,29.6955752372742,1.10000002384186,1.89999997615814,0.508243796026924,0.493991136550903,0.258592635393143,0.779463410377502
"[-52,-51)",379,1.47498705707943,1.38688004016876,0.511473025253983,29.6939497716895,27.1849885844749,32.1256278538813,22.8624501228333,20.9047994613647,27.6816997528076,1.0401599407196,1.80294394493103,0.493562714808613,0.478578448295593,0.253546833992004,0.749551892280579
"[-51,-50)",379,1.43949846903693,1.38688004016876,0.503068214279243,29.2639269406393,27.2944634703196,31.9215182648402,23.6340007781982,20.6809997558594,29.3830995559692,1.0401599407196,1.76827204227448,0.475264350829602,0.469499170780182,0.229158706963062,0.722727298736572
