week,n,mean,median,sd,age50,age25,age75,bmi,bmi25,bmi75,q25,q75,qmean,qmedian,qq25,qq75
"[-60,-59)",13,28.7492309533633,13.3999996185303,38.8305405611358,28.7904109589041,28.2119863013699,30.0694063926941,25.0135002136231,24.8370494842529,29.5858001708984,10.1000003814697,29.2999992370606,0.439441432316716,0.360146254301071,0.258845448493958,0.719642877578735
"[-59,-58)",18,17.2299998866187,13.0500001907349,16.089989550629,30.0064497716895,27.1749714611872,31.7563641552511,28.1969499588013,24.9580745697022,32.0396499633789,10.2750000953674,19.3749995231628,0.388381536843048,0.356152266263962,0.251109298318625,0.543889850378037
"[-58,-57)",12,22.8500001132488,21,14.9966964293151,30.9791095890411,28.4914098173516,33.0695776255708,28.342125415802,27.1665127277374,29.5177381038666,12.9249999523163,26.5750007629395,0.512989626731724,0.547825068235397,0.343357674777508,0.670853585004807
"[-57,-56)",17,31.1711766860064,12.8000001907349,41.4999558866906,28.3324200913242,27.7845890410959,31.9271689497717,22.5129499435425,18.4767251014709,24.9342185258865,8.27999973297119,18.1000003814697,0.43365270907388,0.354092538356781,0.20998278260231,0.511187613010407
"[-56,-55)",21,32.1552380493709,12,39.3722457300489,29.3436073059361,28.2392694063927,32.4555936073059,28.0618000030518,27.3437995910645,28.4664993286133,4.5,46.2000007629395,0.452989021050079,0.341113120317459,0.114901259541512,0.80303031206131
"[-55,-54)",20,14.2230000495911,13.9000000953674,7.23718543783701,31.1844748858448,27.8467465753425,33.7325057077626,23.9893999099731,22.6038498878479,25.3749499320984,8.90000033378601,19.2250003814697,0.377046283148229,0.381058216094971,0.239247482270002,0.538710951805115
"[-54,-53)",20,32.3609995603561,18.1999998092651,35.8364783112728,29.5517123287671,27.6668664383562,32.1180365296804,24.9682750701904,23.7838492393494,27.3375754356384,7.39999985694885,38.3999996185303,0.482784835342318,0.482791587710381,0.195256816223264,0.788986220955849
"[-53,-52)",14,37.1921424525125,28.7999992370606,29.1550619013078,29.1900114155251,27.7167237442922,32.7503710045662,24.5088996887207,22.9060497283936,26.2626504898071,17.2499995231628,46.6749992370606,0.638839683096324,0.681965172290802,0.486310862004757,0.833669126033783
"[-52,-51)",18,13.2894444664319,12.4499998092651,9.45580719526792,29.3131849315069,27.4008276255708,32.374200913242,22.8964341481527,20.5125999450684,23.922399520874,8.2000002861023,17.9999995231628,0.332121689183017,0.338163509964943,0.201962109655142,0.47486288100481
"[-51,-50)",18,24.947222020891,22.75,18.7270629466971,30.1941780821918,27.5764269406393,31.365296803653,20.2482500076294,19.6967754364014,23.2961745262146,13.6000001430511,31.6249995231628,0.522143965173099,0.591509431600571,0.359397441148758,0.730392217636108
